food,safe_alternative,reason
misal pav,baked fish,baked fish is lower sodium content supports heart health compared to misal pav.
large gulab jamun,baked fish,baked fish is fermented or dairy option aids digestion compared to large gulab jamun.
brownie,sprouts salad,sprouts salad is fermented or dairy option aids digestion compared to brownie.
masala dal makhani,baked sweet potato,baked sweet potato is lower sodium content supports heart health compared to masala dal makhani.
manchurian,brown rice,brown rice is whole grains provide sustained energy compared to manchurian.
white bread,steamed idli,steamed idli is lower in saturated fat and calories compared to white bread.
family pack gulab jamun,grilled baked fish,grilled baked fish is whole grains provide sustained energy compared to family pack gulab jamun.
pav bhaji,tofu tikka,tofu tikka is contains more protein to keep you full compared to pav bhaji.
masala packaged juice,whole wheat roti,whole wheat roti is lower sodium content supports heart health compared to masala packaged juice.
rasmalai,roasted veggies,roasted veggies is lower sodium content supports heart health compared to rasmalai.
double cake,baked sweet potato,baked sweet potato is reduced oil and lighter on the stomach compared to double cake.
large sugarcane juice,buttermilk,buttermilk is lower in saturated fat and calories compared to large sugarcane juice.
garlic butter dosa,no butter sattu drink (unsweetened),no butter sattu drink (unsweetened) is whole grains provide sustained energy compared to garlic butter dosa.
masala butter dosa,grilled fish,grilled fish is lower in saturated fat and calories compared to masala butter dosa.
double falooda,grilled chicken,grilled chicken is includes more vegetables and micronutrients compared to double falooda.
kheer,no butter hand-pounded rice,no butter hand-pounded rice is less sugar and better for blood glucose control compared to kheer.
ice cream,low-oil dark chocolate (small piece),low-oil dark chocolate (small piece) is less sugar and better for blood glucose control compared to ice cream.
ramen with pork,plain dosa,plain dosa is contains more protein to keep you full compared to ramen with pork.
pani puri,stir-fried veggies,stir-fried veggies is reduced oil and lighter on the stomach compared to pani puri.
mutton biryani,baked samosa,baked samosa is whole grains provide sustained energy compared to mutton biryani.
large cold coffee,oats upma,oats upma is baked or steamed instead of deep-fried compared to large cold coffee.
large pizza,oats dosa,oats dosa is reduced oil and lighter on the stomach compared to large pizza.
masala french fries,air-popped popcorn,air-popped popcorn is contains more protein to keep you full compared to masala french fries.
sev,stir-fried veggies,stir-fried veggies is lower in saturated fat and calories compared to sev.
hakka noodles,no butter sauteed greens,no butter sauteed greens is lower in saturated fat and calories compared to hakka noodles.
kheer,steamed idli,steamed idli is higher in fiber which improves satiety compared to kheer.
large brownie sundae,dal fry (less oil),dal fry (less oil) is higher in fiber which improves satiety compared to large brownie sundae.
spring rolls,no sugar baked fish,no sugar baked fish is includes more vegetables and micronutrients compared to spring rolls.
sugarcane juice,oats dosa,oats dosa is reduced oil and lighter on the stomach compared to sugarcane juice.
garlic sweet lassi,no butter hand-pounded rice,no butter hand-pounded rice is less sugar and better for blood glucose control compared to garlic sweet lassi.
ramen with pork,steamed green tea,steamed green tea is higher in fiber which improves satiety compared to ramen with pork.
garlic bread,millet roti,millet roti is lower in saturated fat and calories compared to garlic bread.
extra cheese flavored yogurt,no sugar low-fat yogurt,no sugar low-fat yogurt is higher in fiber which improves satiety compared to extra cheese flavored yogurt.
garlic mutton biryani,dal tadka,dal tadka is higher in fiber which improves satiety compared to garlic mutton biryani.
garlic ice cream,grilled chicken,grilled chicken is includes more vegetables and micronutrients compared to garlic ice cream.
double pepperoni pizza,steamed plain dosa,steamed plain dosa is fermented or dairy option aids digestion compared to double pepperoni pizza.
regular sweet lassi,plain sattu drink (unsweetened),plain sattu drink (unsweetened) is fermented or dairy option aids digestion compared to regular sweet lassi.
kathi roll,brown rice,brown rice is baked or steamed instead of deep-fried compared to kathi roll.
misal pav,buttermilk,buttermilk is lower sodium content supports heart health compared to misal pav.
vada pav,paneer tikka,paneer tikka is lower sodium content supports heart health compared to vada pav.
bhel puri,no butter brown rice,no butter brown rice is fermented or dairy option aids digestion compared to bhel puri.
dal makhani,vegetable khichdi,vegetable khichdi is whole grains provide sustained energy compared to dal makhani.
brownie sundae,millet roti,millet roti is reduced oil and lighter on the stomach compared to brownie sundae.
vada pav,coconut water,coconut water is fermented or dairy option aids digestion compared to vada pav.
cold coffee,stir-fried veggies,stir-fried veggies is reduced oil and lighter on the stomach compared to cold coffee.
double cheese pizza,dark chocolate (small piece),dark chocolate (small piece) is fermented or dairy option aids digestion compared to double cheese pizza.
samosa,baked sweet potato,baked sweet potato is higher in fiber which improves satiety compared to samosa.
regular white bread,multigrain roti,multigrain roti is less sugar and better for blood glucose control compared to regular white bread.
paneer tikka pizza,light baked samosa,light baked samosa is contains more protein to keep you full compared to paneer tikka pizza.
cheeseburger,light roasted chana,light roasted chana is less sugar and better for blood glucose control compared to cheeseburger.
regular noodles,low-oil green tea,low-oil green tea is lower sodium content supports heart health compared to regular noodles.
double butter naan,greek yogurt,greek yogurt is includes more vegetables and micronutrients compared to double butter naan.
brownie sundae,sattu drink (unsweetened),sattu drink (unsweetened) is less sugar and better for blood glucose control compared to brownie sundae.
garlic double cheese pizza,unsweetened ragi dosa,unsweetened ragi dosa is lower sodium content supports heart health compared to garlic double cheese pizza.
samosa,steamed idli,steamed idli is lower sodium content supports heart health compared to samosa.
cola,tandoori chicken,tandoori chicken is reduced oil and lighter on the stomach compared to cola.
instant noodles,light sweet potato chaat,light sweet potato chaat is lower sodium content supports heart health compared to instant noodles.
large momos fried,buttermilk,buttermilk is lower sodium content supports heart health compared to large momos fried.
large vada pav,cucumber salad,cucumber salad is fermented or dairy option aids digestion compared to large vada pav.
regular chole bhature,unsweetened hand-pounded rice,unsweetened hand-pounded rice is higher in fiber which improves satiety compared to regular chole bhature.
cola,plain vegetable soup,plain vegetable soup is higher in fiber which improves satiety compared to cola.
energy drink,tandoori chicken,tandoori chicken is reduced oil and lighter on the stomach compared to energy drink.
misal pav,vegetable soup,vegetable soup is whole grains provide sustained energy compared to misal pav.
loaded kaju katli,low-oil fruit salad,low-oil fruit salad is baked or steamed instead of deep-fried compared to loaded kaju katli.
small chole bhature,grilled chaas,grilled chaas is lower in saturated fat and calories compared to small chole bhature.
spicy bhatura,low-oil dark chocolate (small piece),low-oil dark chocolate (small piece) is baked or steamed instead of deep-fried compared to spicy bhatura.
butter naan,light black coffee (no sugar),light black coffee (no sugar) is lower sodium content supports heart health compared to butter naan.
kachori,steamed tofu tikka,steamed tofu tikka is baked or steamed instead of deep-fried compared to kachori.
french fries,quinoa,quinoa is whole grains provide sustained energy compared to french fries.
double sugarcane juice,low-oil nuts mix (unsalted),low-oil nuts mix (unsalted) is lower in saturated fat and calories compared to double sugarcane juice.
extra cheese pav bhaji,sprouts salad,sprouts salad is fermented or dairy option aids digestion compared to extra cheese pav bhaji.
fish and chips,baked fish,baked fish is fermented or dairy option aids digestion compared to fish and chips.
bhujia,air-popped popcorn,air-popped popcorn is higher in fiber which improves satiety compared to bhujia.
large cheese fries,no sugar sprouts salad,no sugar sprouts salad is higher in fiber which improves satiety compared to large cheese fries.
laddu,no sugar black coffee (no sugar),no sugar black coffee (no sugar) is fermented or dairy option aids digestion compared to laddu.
extra cheese cola,low-fat yogurt,low-fat yogurt is lower sodium content supports heart health compared to extra cheese cola.
brownie,ragi dosa,ragi dosa is higher in fiber which improves satiety compared to brownie.
butter chicken,steamed steamed idli,steamed steamed idli is baked or steamed instead of deep-fried compared to butter chicken.
